fil,recwgt,status,ID,pbad,w_var01,w_var02,w_var03,w_var04,w_var05,w_var06,w_var07,w_var08,w_var09,w_var10,w_var11,w_var12,w_var13,w_var14,status_log
B,1,G,34,0.2408,0.352,-0.686,0.21,0.3,0.3,-0.935,0.713,3.157,-0.081,-0.328,0.198,0.073,0.156,-0.027,G
B,1,G,35,0.2408,3.341,-0.164,-0.045,0.3,0.3,-0.935,1.986,-0.942,0.807,-0.328,0.198,0.073,1.455,-0.027,G
B,1,G,36,0.2408,-0.743,0.125,0.186,1.766,1.637,1.884,0.797,1.545,-0.081,-0.328,0.198,0.073,0.156,0.956,G
B,1,G,37,0.2408,3.341,0.125,-0.051,0.3,0.3,1.884,0.797,3.157,-0.081,-0.328,0.198,0.073,0.156,-0.027,G
B,1,G,38,0.2408,5.722,0.125,0.065,0.513,0.513,-0.897,0.713,-1.049,-0.081,0.948,0.198,0.073,1.532,-0.027,G
B,1,B,39,0.2408,0.133,0.125,-0.146,0.3,0.3,-0.935,-0.15,-0.942,-0.081,-0.328,0.198,0.073,0.388,-0.054,B
B,1,G,40,0.2408,-0.743,-0.228,0.135,-0.042,-0.042,-0.935,-0.944,-0.942,-0.081,-0.328,0.198,0.073,0.156,-0.027,G
B,1,G,41,0.2408,0.133,0.125,0.065,1.727,1.653,-0.935,0.797,-0.942,-0.081,-0.328,0.198,0.073,-0.338,-0.027,G
B,1,G,42,0.2408,-0.732,-0.228,-0.146,-0.804,-0.804,-0.935,-0.944,-0.942,-0.081,-0.328,0.198,0.073,0.156,-0.027,G
B,1,G,43,0.2408,2.074,0.125,-0.027,-0.804,-0.804,-0.935,-0.325,-0.942,-0.081,-0.328,0.198,0.073,-0.948,-0.027,G
B,1,G,44,0.2408,-0.743,0.125,-0.146,0.513,0.513,1.521,0.713,1.545,-0.081,0.948,0.198,0.073,0.156,-0.027,G
B,1,G,45,0.2408,2.074,0.125,0.135,0.513,0.513,1.884,1.55,1.015,-0.081,-0.328,0.198,0.073,0.92,-0.027,G
B,1,B,46,0.2408,-0.489,-0.686,-0.045,-0.804,-0.804,-0.935,-0.944,-0.942,0.807,-0.328,0.198,0.073,0.156,-0.027,B
B,1,G,47,0.2408,-0.732,0.125,-0.151,0.513,0.513,-0.935,0.797,-0.942,-0.081,-0.328,0.198,0.073,0.388,-0.027,G
B,1,G,48,0.2408,-0.711,0.125,-0.081,-1.375,-1.648,1.002,-1.084,1.545,-0.081,0.948,0.198,0.073,0.156,-0.027,G
B,1,G,49,0.2408,-0.491,-0.164,-0.146,-0.109,-0.109,-0.935,0.079,-0.942,-0.081,-0.328,0.198,0.073,0.156,-0.027,G
B,1,G,50,0.2408,0.352,0.125,0.135,-0.109,-0.109,1.884,-0.944,1.015,-0.081,-0.328,0.198,0.073,-0.338,-0.027,G
B,1,G,51,0.2408,2.074,0.125,0.055,0.3,0.3,-0.935,-1.084,-1.049,1.12,0.948,0.198,0.073,0.156,-0.027,G
B,1,G,52,0.2408,5.722,0.125,0.106,0.513,0.513,1.884,1.986,3.157,-0.081,0.948,0.198,0.073,0.92,-0.054,G
B,1,B,53,0.2408,-0.743,0.125,0.21,-2.163,-1.648,-0.935,-0.944,-1.049,-0.081,0.948,0.198,-1.184,-0.772,0.972,B
B,1,B,54,0.2408,-0.743,-0.686,0.186,-0.804,-0.804,1.002,-1.084,1.015,-0.081,-0.328,0.198,0.073,-0.855,-0.027,B
B,1,G,55,0.2408,-0.743,-1.378,-0.043,0.513,0.513,1.002,-1.084,1.015,-0.081,-0.328,0.198,0.073,-0.772,-0.027,G
B,1,B,56,0.2408,-0.531,0.125,0.186,0.3,0.3,-0.935,-0.325,-0.942,-0.081,-0.328,0.198,0.073,0.156,-0.027,B
B,1,G,57,0.2408,-0.711,0.125,0.106,1.809,1.653,-0.935,0.797,-0.942,-0.081,-0.328,0.198,0.073,0.156,1.755,G
B,1,G,58,0.2408,-0.108,0.125,0.21,-0.109,-0.109,-0.935,1.986,-0.942,-0.081,-0.328,0.198,0.073,0.156,0.956,G
B,1,G,59,0.2408,-0.491,0.125,-0.151,0.513,0.513,-0.935,0.713,-0.942,-0.081,-0.328,0.198,0.073,-0.556,-0.027,G
B,1,G,60,0.2408,0.352,0.125,-0.075,0.513,0.513,-0.935,0.797,-0.942,-0.081,-0.328,-2.196,0.073,0.156,-0.027,G
B,1,G,61,0.2408,0.352,0.125,0.21,-0.804,-0.804,-0.935,-0.15,-0.942,-0.081,-0.328,0.519,0.073,0.156,-0.027,G
B,1,G,62,0.2408,0.133,1.003,0.135,1.558,1.653,1.263,1.007,1.015,-0.081,-0.328,0.198,0.073,0.156,-0.054,G
B,1,G,63,0.2408,-0.743,0.125,-0.151,0.513,0.513,-0.935,0.235,-0.942,-0.081,-0.328,0.198,0.073,0.156,-0.027,G
B,1,B,64,0.2408,-0.531,0.125,-0.043,-2.196,-1.648,-0.935,-0.944,-0.942,-0.081,-0.328,0.198,0.073,-0.556,-0.027,B
B,1,G,65,0.2408,0.352,0.125,-0.146,0.3,0.3,1.002,-0.325,1.015,-0.081,-0.328,0.198,0.073,-0.855,-0.027,G
B,1,G,66,0.2408,-0.413,0.125,-0.151,0.513,0.513,-0.935,0.079,-0.942,-0.081,-0.328,0.198,0.073,0.156,-0.027,G
B,1,G,67,0.2408,0.985,0.125,-0.027,0.3,0.3,1.002,0.713,1.015,-0.081,0.948,0.198,0.073,0.156,-0.027,G
B,1,B,68,0.2408,-0.732,0.125,-0.094,0.513,0.513,-0.935,0.713,-1.049,-0.081,0.948,0.198,0.073,0.156,-0.027,B
B,1,B,69,0.2408,-0.743,-1.378,-0.075,0.3,0.3,-0.935,-1.084,-0.942,-0.081,-0.328,0.198,0.073,-0.948,-0.027,B
B,1,G,70,0.2408,2.074,1.003,-0.051,0.3,0.3,1.884,1.007,3.157,-0.081,-0.328,0.198,0.073,0.156,-0.027,G
B,1,G,71,0.2408,5.722,0.125,-0.146,0.3,0.3,1.884,-0.944,3.157,-0.081,-0.328,0.198,0.073,0.92,-0.027,G
B,1,G,72,0.2408,0.133,0.125,-0.045,-0.804,-0.804,1.521,-0.15,3.157,0.807,0.948,0.198,0.073,0.156,-0.027,G
B,1,B,73,0.2408,0.352,-0.228,-0.094,-0.804,-0.804,-0.935,-0.15,-0.942,-0.081,-0.328,0.198,0.073,-0.772,-0.027,B
B,1,G,74,0.2408,2.074,0.125,0.106,0.3,0.3,1.884,0.797,1.015,-0.081,-0.328,0.198,0.073,0.156,-0.027,G
B,1,G,75,0.2408,0.094,0.125,-0.081,0.3,0.3,-0.935,-0.944,2.078,-0.081,-0.328,0.198,0.073,1.532,-0.027,G
B,1,G,76,0.2408,0.985,0.125,0.106,0.513,0.513,1.884,1.986,3.157,-0.081,-0.328,0.198,0.073,0.156,1.755,G
B,1,G,77,0.2408,-0.491,0.125,0.055,-0.042,-0.042,-0.935,0.713,-0.942,-0.081,-0.328,0.198,0.073,0.156,-0.027,G
B,1,G,78,0.2408,0.094,1.003,0.106,1.487,1.653,-0.935,1.007,-0.942,-0.081,-0.328,0.198,0.073,1.455,-0.027,G
B,1,G,79,0.2408,5.722,0.125,-0.045,1.766,1.637,1.884,1.986,3.157,-0.081,0.948,0.198,0.073,1.532,-0.027,G
B,1,G,80,0.2408,0.133,-0.276,-0.081,1.558,1.653,-0.935,0.882,-0.942,-0.081,-0.328,0.198,0.073,0.156,-0.027,G
B,1,G,81,0.2408,5.722,0.125,0.065,0.513,0.513,1.884,-0.15,1.015,-0.081,-0.328,0.198,0.073,0.92,-0.027,G
B,1,G,82,0.2408,-0.732,0.125,0.135,-0.804,-0.804,-0.935,1.986,-0.942,-0.081,-0.328,0.198,0.073,0.156,-0.131,G
B,1,G,83,0.2408,-0.711,0.125,0.21,0.513,0.513,-0.935,1.986,-1.049,-0.081,0.948,0.198,0.073,0.156,-0.027,G
B,1,G,84,0.2408,-0.489,0.125,-0.094,0.513,0.513,-0.935,-0.15,-0.942,-0.081,-0.328,0.198,0.073,-0.556,-0.027,G
B,1,B,85,0.2408,-0.711,0.125,-0.045,0.513,0.513,1.002,0.079,1.015,-0.081,0.948,-2.196,0.073,0.156,-0.027,B
B,1,G,86,0.2408,-0.732,0.125,-0.045,0.513,0.513,1.002,-0.15,3.157,-0.081,0.948,0.198,0.073,0.92,-0.027,G
B,1,B,87,0.2408,-0.743,-0.276,0.135,0.513,0.513,-0.935,-0.419,-0.942,-0.081,-0.328,0.198,0.073,0.156,-0.027,B
B,1,G,88,0.2408,0.133,0.125,-0.051,-1.375,-1.648,-0.935,-0.944,-0.942,-0.081,-0.328,0.198,0.073,-0.948,-0.027,G
B,1,G,89,0.2408,0.352,0.125,0.21,1.727,1.653,1.884,-0.15,1.015,-0.081,-0.328,0.198,0.073,0.156,-0.027,G
B,1,B,90,0.2408,-0.531,-0.686,0.065,-2.196,-1.648,1.884,-0.944,1.015,-0.081,0.948,0.198,0.073,-0.948,-0.027,B
B,1,G,91,0.2408,-0.489,0.125,0.186,-0.109,-0.109,-0.935,-0.944,-0.942,-0.081,-0.328,0.198,0.073,0.156,-0.027,G
B,1,G,92,0.2408,-0.413,0.125,0.135,0.3,0.3,1.002,0.079,1.545,-0.081,0.948,0.198,0.073,0.156,-0.027,G
B,1,G,93,0.2408,0.985,0.125,0.106,0.3,0.3,1.002,0.797,1.545,0.807,0.948,0.198,0.073,1.532,-0.027,G
B,1,G,94,0.2408,0.352,0.125,-0.043,0.513,0.513,-0.935,-0.15,-1.049,-0.133,0.948,0.198,-1.184,0.92,-0.054,G
B,1,B,95,0.2408,-0.108,-0.276,0.106,-0.804,-0.804,-0.935,-0.419,-0.942,-0.081,-0.328,0.198,0.073,0.156,-0.027,B
B,1,G,96,0.2408,0.352,-0.276,-0.043,0.3,0.3,1.884,1.55,1.015,-0.081,-0.328,0.198,0.073,-0.948,-0.027,G
B,1,B,97,0.2408,-0.743,-0.228,-0.075,-2.196,-1.648,-0.935,-0.944,-0.942,-0.081,-0.328,0.198,-1.184,-0.772,-0.027,B
B,1,B,98,0.2408,-0.413,0.125,-0.051,0.3,0.3,-0.935,-0.15,-0.942,-0.081,-0.328,0.198,0.073,-0.556,-0.027,B
B,1,G,99,0.2408,-0.743,0.125,-0.094,-0.042,-0.042,1.002,-1.084,1.545,-0.081,0.948,0.198,0.073,0.156,-0.463,G
B,1,G,100,0.2408,0.133,-0.686,0.186,0.513,0.513,1.884,1.986,3.157,0.807,-0.328,0.198,0.073,0.156,-0.027,G
B,1,B,101,0.2408,0.094,0.125,-0.081,-1.375,-1.648,-0.935,-1.084,-0.942,-0.081,-0.328,0.198,0.073,0.156,-0.027,B
B,1,B,102,0.2408,-0.711,0.125,-0.051,-0.804,-0.804,-0.935,-1.084,-0.942,-0.081,-0.328,-2.196,0.073,-0.772,-0.027,B
B,1,G,103,0.2408,-0.743,-0.228,-0.151,-1.375,-1.648,1.884,-0.944,1.015,-0.081,0.948,0.198,0.073,-0.948,-0.027,G
B,1,G,104,0.2408,5.722,0.125,-0.075,0.3,0.3,1.884,-0.325,3.157,-0.081,0.948,0.198,0.073,0.156,-0.027,G
B,1,G,105,0.2408,0.352,0.125,-0.146,0.513,0.513,1.884,0.079,1.015,-0.081,-0.328,0.198,0.073,0.156,-0.027,G
B,1,B,106,0.2408,0.133,-1.378,-0.045,0.513,0.513,-0.935,0.079,-0.942,-0.081,-0.328,-2.196,0.073,0.156,-0.027,B
B,1,G,107,0.2408,5.722,1.003,-0.045,1.487,1.653,1.884,1.007,3.157,-0.081,0.948,-2.196,0.073,0.92,-0.027,G
B,1,G,108,0.2408,0.352,0.125,-0.075,1.766,1.637,1.884,1.55,3.157,-0.081,-0.328,0.198,0.073,0.156,-0.027,G
B,1,G,109,0.2408,0.133,-0.276,-0.075,0.513,0.513,1.884,0.713,1.015,-0.081,0.948,0.198,0.073,0.156,-0.027,G
B,1,G,110,0.2408,-0.531,0.125,-0.081,0.513,0.513,-0.935,1.55,-0.942,-0.081,-0.328,0.198,0.073,0.156,-0.027,G
B,1,G,111,0.2408,2.074,0.125,0.065,-0.804,-0.804,1.884,-0.15,2.078,-0.081,-0.328,0.198,0.073,0.156,-0.027,G
B,1,B,112,0.2408,-0.413,0.125,0.21,-2.163,-1.648,-0.935,-0.944,-0.942,-0.081,-0.328,0.198,0.073,0.156,-0.027,B
B,1,B,113,0.2408,-0.489,-0.228,-0.045,0.513,0.513,-0.935,1.986,-0.942,-0.081,-0.328,0.198,-1.184,-0.948,-0.412,B
B,1,G,114,0.2408,0.985,0.125,0.065,0.3,0.3,-0.935,-0.15,-1.049,-0.081,0.948,-2.196,0.073,1.532,-0.027,G
B,1,G,115,0.2408,-0.413,0.125,-0.146,0.513,0.513,1.884,0.797,3.157,-0.081,0.948,0.198,0.073,0.156,-0.027,G
B,1,G,116,0.2408,-0.732,0.125,-0.146,1.727,1.653,-0.935,1.55,-0.942,-0.081,-0.328,0.198,0.073,-0.948,-0.027,G
B,1,G,117,0.2408,-0.489,-1.378,-0.045,0.3,0.3,-0.935,-0.15,-0.942,-0.081,-0.328,0.198,0.073,-0.948,-0.027,G
B,1,B,118,0.2408,-0.743,-0.276,-0.051,-0.109,-0.109,-0.935,0.079,-0.942,0.807,-0.328,0.198,0.073,0.156,-0.027,B
B,1,G,119,0.2408,-0.732,0.125,0.186,0.3,0.3,-0.935,-0.15,-0.942,-0.081,-0.328,0.198,0.073,-0.855,-0.027,G
B,1,G,120,0.2408,3.341,0.125,-0.146,0.513,0.513,1.884,0.079,1.015,-0.081,-0.328,0.198,0.073,-0.338,-0.027,G
B,1,G,121,0.2408,3.341,0.125,-0.051,0.3,0.3,1.884,1.986,3.157,-0.081,0.948,0.198,0.073,0.156,-0.027,G
B,1,G,122,0.2408,-0.491,0.125,-0.043,-0.804,-0.804,-0.935,-1.084,-0.942,-0.081,-0.328,0.198,0.073,-0.772,-0.027,G
B,1,G,123,0.2408,0.352,0.125,0.21,-0.804,-0.804,1.884,-1.084,3.157,0.807,-0.328,0.198,0.073,0.156,-0.406,G
B,1,B,124,0.2408,0.352,-0.164,0.135,-0.804,-0.804,-0.935,-0.944,-0.942,-0.081,-0.328,0.198,0.073,-0.948,-0.027,B
B,1,G,125,0.2408,5.722,0.125,0.135,0.3,0.3,1.884,1.986,3.157,0.807,-0.328,0.198,0.073,0.92,-0.027,G
B,1,B,126,0.2408,-0.743,0.125,0.135,-0.804,-0.804,-0.935,-1.084,-1.049,-0.081,0.948,0.198,0.073,0.156,-0.027,B
B,1,G,127,0.2408,5.722,0.125,-0.043,0.3,0.3,1.884,0.713,3.157,-0.081,0.948,0.198,-1.184,1.532,-0.027,G
B,1,B,128,0.2408,0.133,0.125,-0.043,-0.042,-0.042,-0.935,0.713,-0.942,-0.081,-0.328,0.198,0.073,0.156,-0.027,B
B,1,G,129,0.2408,-0.108,1.003,-0.081,0.513,0.513,-0.935,1.007,-0.942,-0.081,-0.328,0.198,0.073,0.156,-0.027,G
B,1,G,130,0.2408,-0.491,0.125,0.065,0.3,0.3,1.002,0.079,1.015,-0.081,-0.328,0.198,0.073,0.156,-0.027,G
B,1,G,131,0.2408,0.985,0.125,0.21,-0.042,-0.042,1.884,-0.15,1.015,-0.081,0.948,0.198,0.073,-0.772,-0.027,G
B,1,G,132,0.2408,2.074,0.125,0.055,0.513,0.513,1.884,1.986,1.015,-0.081,0.948,0.198,-1.184,0.156,-0.027,G
B,1,G,133,0.2408,-0.413,-0.228,-0.043,0.513,0.513,-0.935,0.079,-0.942,-0.081,-0.328,-2.196,0.073,0.92,-0.027,G
B,1,G,134,0.2408,-0.413,0.125,0.186,-0.804,-0.804,-0.935,-0.15,-0.942,-0.081,-0.328,0.198,0.073,-0.948,-0.027,G
B,1,G,135,0.2408,-0.711,0.125,-0.151,-0.042,-0.042,1.002,-0.325,1.015,0.807,0.948,0.198,0.073,0.388,-0.027,G
B,1,B,136,0.2408,-0.413,-0.686,-0.081,-1.375,-1.648,-0.935,-0.944,-0.942,-0.081,-0.328,0.198,0.073,0.156,-0.827,B
B,1,G,137,0.2408,-0.531,-0.228,0.21,0.513,0.513,-0.935,0.079,-0.942,-0.081,-0.328,0.198,0.073,-0.772,-0.027,G
B,1,G,138,0.2408,0.985,0.125,-0.094,-0.109,-0.109,-0.935,0.713,-1.049,-0.081,0.948,0.198,0.073,0.92,-0.027,G
B,1,G,139,0.2408,5.722,0.125,0.055,0.3,0.3,1.884,-0.15,3.157,-0.081,-0.328,0.198,0.073,1.532,-0.027,G
B,1,B,140,0.2408,-0.743,0.125,0.21,0.3,0.3,-0.935,0.079,-0.942,-0.133,-0.328,0.198,0.073,0.156,-0.027,B
B,1,G,141,0.2408,-0.489,-1.378,0.21,0.513,0.513,-0.935,0.079,-0.942,-0.081,-0.328,0.198,0.073,0.156,-0.027,G
B,1,G,142,0.2408,0.985,0.125,0.186,0.3,0.3,1.884,-0.15,3.157,-0.081,0.948,0.198,0.073,0.156,-0.027,G
B,1,G,143,0.2408,5.722,0.125,-0.045,0.3,0.3,1.884,1.986,3.157,-0.081,-0.328,0.198,0.073,0.92,1.755,G
B,1,B,144,0.2408,-0.711,0.125,-0.051,-0.109,-0.109,1.884,-0.944,1.015,-0.081,0.948,0.198,-1.184,0.156,-0.027,B
B,1,G,145,0.2408,0.094,0.125,-0.146,0.3,0.3,1.884,-0.325,2.078,-0.081,-0.328,0.198,0.073,0.156,-0.027,G
B,1,G,146,0.2408,0.133,0.125,-0.075,0.513,0.513,1.884,0.235,1.545,0.807,0.948,0.198,0.073,0.92,-0.027,G
B,1,G,147,0.2408,3.341,0.125,-0.027,0.3,0.3,-0.935,1.986,-0.942,-0.081,-0.328,0.198,0.073,1.532,-0.027,G
B,1,G,148,0.2408,-0.413,0.125,-0.043,0.513,0.513,1.215,1.986,1.545,-0.081,0.948,0.198,0.073,1.532,-0.027,G
B,1,G,149,0.2408,0.094,0.125,-0.027,1.766,1.637,-0.935,0.079,-0.942,-0.081,-0.328,0.198,-1.184,0.156,-0.027,G
B,1,G,150,0.2408,-0.531,1.003,-0.027,0.3,0.3,1.002,1.007,1.015,-0.081,0.948,0.198,0.073,0.156,-0.027,G
B,1,G,151,0.2408,-0.743,-0.276,-0.075,0.3,0.3,1.002,0.713,1.545,-0.081,0.948,0.198,0.073,0.388,1.755,G
B,1,G,152,0.2408,-0.108,0.125,-0.051,0.513,0.513,1.884,0.713,1.015,-0.081,0.948,0.198,0.073,0.156,-0.027,G
B,1,G,153,0.2408,0.133,0.125,-0.094,-0.804,-0.804,1.884,-1.084,2.078,-0.133,0.948,0.198,0.073,0.156,-0.344,G
B,1,G,154,0.2408,3.341,0.125,0.135,0.513,0.513,1.884,0.079,3.157,-0.081,-0.328,0.198,0.073,0.92,-0.027,G
B,1,B,155,0.2408,-0.732,1.003,0.186,0.513,0.513,1.002,1.007,1.015,-0.081,-0.328,0.198,0.073,-0.556,-0.027,B
B,1,G,156,0.2408,-0.743,0.125,-0.075,0.513,0.513,-0.935,0.079,-0.942,-0.081,-0.328,0.198,0.073,-0.556,-0.027,G
B,1,G,157,0.2408,2.074,0.125,0.106,-0.804,-0.804,1.884,1.55,1.015,-0.081,-0.328,0.198,0.073,0.156,-0.027,G
B,1,G,158,0.2408,0.094,-0.228,0.065,0.3,0.3,1.521,-0.15,1.545,0.807,-0.328,0.198,-1.184,1.455,-0.027,G
B,1,G,159,0.2408,0.352,0.125,-0.075,0.513,0.513,1.002,0.079,1.015,-0.081,-0.328,0.198,0.073,-0.772,-0.027,G
B,1,G,160,0.2408,-0.531,0.125,0.106,-0.804,-0.804,1.521,1.986,2.078,0.807,-0.328,0.198,0.073,-0.948,-0.027,G
B,1,G,161,0.2408,0.094,1.003,0.055,2.071,1.653,1.002,1.007,1.015,-0.081,0.948,0.198,0.073,1.532,-0.027,G
B,1,G,162,0.2408,2.074,0.125,0.186,0.513,0.513,1.884,1.986,1.545,-0.081,0.948,0.198,0.073,0.156,-0.027,G
B,1,G,163,0.2408,-0.711,-1.378,0.21,-1.375,-1.648,1.002,-1.084,1.545,-0.133,0.948,0.198,0.073,0.156,-0.027,G
B,1,G,164,0.2408,0.985,0.125,-0.146,0.513,0.513,1.884,-1.084,1.015,-0.133,0.948,0.198,0.073,0.156,-0.463,G
B,1,B,165,0.2408,-0.711,-0.228,-0.051,-1.375,-1.648,-0.935,-0.15,-0.942,-0.081,-0.328,0.198,0.073,0.156,-0.027,B
B,1,G,166,0.2408,-0.413,0.125,-0.051,0.3,0.3,1.002,1.986,1.545,-0.081,0.948,0.198,0.073,0.156,1.755,G
B,1,G,167,0.2408,-0.491,-0.686,0.186,-0.042,-0.042,1.884,-1.084,1.015,-0.081,-0.328,0.198,0.073,-0.338,-0.027,G
B,1,G,168,0.2408,-0.711,-0.164,-0.146,-1.375,-1.648,1.215,-0.419,1.545,-0.081,-0.328,0.198,0.073,0.156,-0.027,G
B,1,G,169,0.2408,5.722,0.125,0.055,1.766,1.637,1.884,1.55,3.157,-0.081,-0.328,0.198,0.073,1.455,-0.027,G
B,1,G,170,0.2408,0.094,-0.276,0.21,-0.109,-0.109,1.215,-0.944,1.015,-0.081,0.948,0.198,0.073,1.532,-0.027,G
B,1,G,171,0.2408,0.985,0.125,-0.081,0.513,0.513,1.884,1.986,1.015,-0.081,-0.328,0.198,-1.184,0.156,-0.027,G
B,1,G,172,0.2408,0.985,-0.164,-0.027,0.513,0.513,-0.935,-0.419,-0.942,-0.081,-0.328,0.198,0.073,0.156,-0.027,G
B,1,B,173,0.2408,-0.732,0.125,-0.146,0.3,0.3,-0.935,-0.15,-0.942,-0.081,-0.328,0.198,-1.184,0.156,-0.027,B
B,1,G,174,0.2408,0.985,0.125,0.065,-0.804,-0.804,1.884,0.079,1.015,-0.081,-0.328,0.198,0.073,-0.948,-0.027,G
B,1,B,175,0.2408,0.985,-0.164,-0.151,-0.804,-0.804,-0.935,-0.944,-0.942,-0.081,-0.328,0.198,0.073,0.156,-0.027,B
B,1,G,176,0.2408,0.985,0.125,0.186,0.513,0.513,1.263,-0.15,1.545,-0.081,0.948,0.198,0.073,1.532,-0.027,G
B,1,G,177,0.2408,3.341,0.125,-0.045,0.513,0.513,1.884,0.079,3.157,0.807,-0.328,0.198,0.073,0.156,-0.027,G
B,1,G,178,0.2408,-0.108,0.125,0.065,0.513,0.513,1.884,1.55,1.015,0.807,-0.328,0.198,0.073,0.156,-0.027,G
